"","Title","ID","Gender","Identity","IQ","MedDept","Success"
"1","294a3823","56afa934","Male","Secret",114,"74627",TRUE
"2","57871c22","19a3f1f2","Male","Public",96,"75835",TRUE
"3","2e1ff36b","54244435","Male","Secret",103,"13873",TRUE
"4","1e026023","9e87f64f","Female","Secret",98,"50588",TRUE
"5","bd5c107a","7b34b0bb","Male","Secret",116,"54589",TRUE
"6","7662e5a0","e5f6d25","Male","Secret",84,"69764",TRUE
"7","684f00b3","75fd78d7","Male","Secret",85,"96633",TRUE
"8","a7c08eba","aefb61a4","Male","Secret",108,"86119",TRUE
"9","6ce6ce78","c6f38284","Male","Secret",110,"96035",TRUE
"10","a6a60d3","99313889","Male","No Dual",100,"74627",TRUE
"11","6036a75c","1b9e4e8","Male",NA,120,"20398",TRUE
"12","caeb56ab","c37d1777","Male","Public",92,"23483",TRUE
"13","c0180d0b","9f37835c","Male","Public",106,"24632",TRUE
"14","156d5388","50479fac","Female","No Dual",88,"50842",TRUE
"15","f579f41d","a33b59f9","Female","Secret",105,"73899",TRUE
"16","885ab8b2","e333c0af","Male","Secret",94,"20398",TRUE
"17","f812546","6e476f16","Female","No Dual",109,"96035",FALSE
"18","dcbbd37e","e5411191","Male","Secret",104,"75835",TRUE
"19","28b1d303","78a282b9","Female","Secret",107,"39943",TRUE
"20","884a8a11","4f465d4f","Male",NA,109,"74627",TRUE
"21","1139ea5c","b677dc17","Male","No Dual",111,"11708",TRUE
"22","68f9a769","94ae44f8","Male","Secret",91,"20439",TRUE
"23","8590b753","342bd363","Male","No Dual",80,"54589",TRUE
"24","75fca824","efc79ae4","Male",NA,84,"11708",TRUE
"25","334d4b3a","20196dac","Male","No Dual",92,"69764",TRUE
"26","7902481b","294ac704","Male","No Dual",100,"13873",TRUE
"27","20d058ca","754ce988","Male","Secret",109,"75835",TRUE
"28","8fb8d21c","6580cff3","Male","No Dual",110,"74627",TRUE
"29","a2614578","c6e0f8e6","Male","No Dual",94,"86119",TRUE
"30","bffba91a","e8362b85","Male","No Dual",103,"75835",TRUE
"31","3019c600","e09d6b57","Male","No Dual",98,"69331",TRUE
"32","6c12f611","edd7f876","Male","Secret",98,"73899",TRUE
"33","cc223d42","fb29f875","Female",NA,102,"74627",TRUE
"34","f17d2b28","44611f15","Male","Secret",87,"24632",TRUE
"35","7179dee9","798756b7","Male","No Dual",104,"69331",TRUE
"36","880103e6","a4ac7687","Male","Secret",103,"11708",TRUE
"37","5b06cbad","c9fd3a78","Male",NA,98,"50842",TRUE
"38","9e2c7562","7ededcea","Male","Public",87,"24632",TRUE
"39","28f21a47","2ae0f541","Male","Secret",108,"24632",TRUE
"40","666c962f","33486002","Male",NA,94,"75835",FALSE
"41","56c70c6","16a367c4","Female","Secret",94,"96633",TRUE
"42","cd56f8a6","99a00edf","Female",NA,93,"20439",TRUE
"43","b8af4520","81abf70d","Female","No Dual",84,"76501",TRUE
"44","4478994a","14760863","Male","Secret",120,"20398",TRUE
"45","bf5dfba0","d1b40d53","Male","Secret",98,"20439",TRUE
"46","a75aba1f","431948fc","Male","Secret",92,"39943",TRUE
"47","6986acd","71dad025","Male","Secret",104,"11708",TRUE
"48","e6d6debd","7e101c15","Female","Public",96,"19550",TRUE
"49","62edb608","1060807a","Male","Secret",107,"73899",TRUE
"50","1beff43c","957f62bb","Female","No Dual",90,"69331",TRUE
