"","salted_title","salted_id","Gender","Identity","IQ","MedDept","Success"
"1","gjoxfAaron Chordgjoxf","gjoxf13241gjoxf","Male","Secret",114,"74627",TRUE
"2","gjoxf1Xgjoxf","gjoxf335174gjoxf","Male","Public",96,"75835",TRUE
"3","gjoxfAaidan Blomfieldgjoxf","gjoxf10127gjoxf","Male","Secret",103,"13873",TRUE
"4","gjoxf115 (Legion Personality)gjoxf","gjoxf624448gjoxf","Female","Secret",98,"50588",TRUE
"5","gjoxfAaron Cashingjoxf","gjoxf321200gjoxf","Male","Secret",116,"54589",TRUE
"6","gjoxfA'Kurru U'mbayagjoxf","gjoxf18286gjoxf","Male","Secret",84,"69764",TRUE
"7","gjoxf8-Ball (Hobgoblin)gjoxf","gjoxf697616gjoxf","Male","Secret",85,"96633",TRUE
"8","gjoxf99gjoxf","gjoxf116255gjoxf","Male","Secret",108,"86119",TRUE
"9","gjoxf'Spinnergjoxf","gjoxf322600gjoxf","Male","Secret",110,"96035",TRUE
"10","gjoxfAalbortgjoxf","gjoxf15357gjoxf","Male","No Dual",100,"74627",TRUE
"11","gjoxfA Friendgjoxf","gjoxf168426gjoxf","Male",NA,120,"20398",TRUE
"12","gjoxf88gjoxf","gjoxf543483gjoxf","Male","Public",92,"23483",TRUE
"13","gjoxf3Xgjoxf","gjoxf335177gjoxf","Male","Public",106,"24632",TRUE
"14","gjoxfA.C. O'Connorgjoxf","gjoxf752403gjoxf","Female","No Dual",88,"50842",TRUE
"15","gjoxfAamshedgjoxf","gjoxf15359gjoxf","Female","Secret",105,"73899",TRUE
"16","gjoxf107gjoxf","gjoxf116257gjoxf","Male","Secret",94,"20398",TRUE
"17","gjoxfA'kanegjoxf","gjoxf18496gjoxf","Female","No Dual",109,"96035",FALSE
"18","gjoxfA'Saigjoxf","gjoxf19488gjoxf","Male","Secret",104,"75835",TRUE
"19","gjoxf14gjoxf","gjoxf116253gjoxf","Female","Secret",107,"39943",TRUE
"20","gjoxfAa-Thakgjoxf","gjoxf516971gjoxf","Male",NA,109,"74627",TRUE
"21","gjoxfAa-Gorngjoxf","gjoxf516687gjoxf","Male","No Dual",111,"11708",TRUE
"22","gjoxf11-Ballgjoxf","gjoxf543479gjoxf","Male","Secret",91,"20439",TRUE
"23","gjoxfAaron Carpentergjoxf","gjoxf718599gjoxf","Male","No Dual",80,"54589",TRUE
"24","gjoxfAbbas al-Abbadgjoxf","gjoxf246082gjoxf","Male",NA,84,"11708",TRUE
"25","gjoxfAbraham Corneliusgjoxf","gjoxf91863gjoxf","Male","No Dual",92,"69764",TRUE
"26","gjoxfAbelgjoxf","gjoxf18394gjoxf","Male","No Dual",100,"13873",TRUE
"27","gjoxfAaron the Aakongjoxf","gjoxf546725gjoxf","Male","Secret",109,"75835",TRUE
"28","gjoxfAbdigjoxf","gjoxf674019gjoxf","Male","No Dual",110,"74627",TRUE
"29","gjoxfAbel Stackgjoxf","gjoxf115994gjoxf","Male","No Dual",94,"86119",TRUE
"30","gjoxfAaron Stankeygjoxf","gjoxf71137gjoxf","Male","No Dual",103,"75835",TRUE
"31","gjoxfAbaracgjoxf","gjoxf547057gjoxf","Male","No Dual",98,"69331",TRUE
"32","gjoxfAbomination (Morlock)gjoxf","gjoxf471638gjoxf","Male","Secret",98,"73899",TRUE
"33","gjoxfAbigail Baxtergjoxf","gjoxf623288gjoxf","Female",NA,102,"74627",TRUE
"34","gjoxfAbahlagjoxf","gjoxf18385gjoxf","Male","Secret",87,"24632",TRUE
"35","gjoxfAbner Dunsongjoxf","gjoxf18391gjoxf","Male","No Dual",104,"69331",TRUE
"36","gjoxfAbara and Cadabragjoxf","gjoxf527397gjoxf","Male","Secret",103,"11708",TRUE
"37","gjoxfAbner Jonasgjoxf","gjoxf1604gjoxf","Male",NA,98,"50842",TRUE
"38","gjoxfAbner Littlegjoxf","gjoxf59402gjoxf","Male","Public",87,"24632",TRUE
"39","gjoxfAbraham Browngjoxf","gjoxf19650gjoxf","Male","Secret",108,"24632",TRUE
"40","gjoxfAbadongjoxf","gjoxf15363gjoxf","Male",NA,94,"75835",FALSE
"41","gjoxfAbigail Duntongjoxf","gjoxf89791gjoxf","Female","Secret",94,"96633",TRUE
"42","gjoxfAbigail Harknessgjoxf","gjoxf237979gjoxf","Female",NA,93,"20439",TRUE
"43","gjoxfAbbey Sykesgjoxf","gjoxf386848gjoxf","Female","No Dual",84,"76501",TRUE
"44","gjoxfAberdeen Angusgjoxf","gjoxf15627gjoxf","Male","Secret",120,"20398",TRUE
"45","gjoxfAaron Soamesgjoxf","gjoxf2129gjoxf","Male","Secret",98,"20439",TRUE
"46","gjoxfAbdul Faoulgjoxf","gjoxf2510gjoxf","Male","Secret",92,"39943",TRUE
"47","gjoxfAaron the Sorcerergjoxf","gjoxf57923gjoxf","Male","Secret",104,"11708",TRUE
"48","gjoxfAbiragjoxf","gjoxf395830gjoxf","Female","Public",96,"19550",TRUE
"49","gjoxfAcidroidgjoxf","gjoxf18414gjoxf","Male","Secret",107,"73899",TRUE
"50","gjoxfAdaigjoxf","gjoxf566831gjoxf","Female","No Dual",90,"69331",TRUE
"51","gjoxfAbu Dakirgjoxf","gjoxf15379gjoxf","Male","No Dual",90,"69331",FALSE
"52","gjoxfAC-DCgjoxf","gjoxf3805gjoxf","Male","Secret",94,"96035",TRUE
"53","gjoxfAbsolon Mercatorgjoxf","gjoxf10633gjoxf","Male","Secret",90,"73899",TRUE
"54","gjoxfAce Maxwellgjoxf","gjoxf754635gjoxf","Male","No Dual",109,"24632",FALSE
"55","gjoxfAbraham Lincolngjoxf","gjoxf637707gjoxf","Male","Public",87,"86119",TRUE
"56","gjoxfAbsynthegjoxf","gjoxf48375gjoxf","Female","Secret",99,"73899",TRUE
"57","gjoxfAchmed El Gibárgjoxf","gjoxf245406gjoxf","Male","Secret",112,"50588",FALSE
"58","gjoxfAbsalomgjoxf","gjoxf1026gjoxf","Male","Secret",76,"96035",TRUE
"59","gjoxfAbu-Jamal Rodriguezgjoxf","gjoxf557491gjoxf","Male","No Dual",101,"75835",FALSE
"60","gjoxfAce (SHIELD Agent)gjoxf","gjoxf556443gjoxf","Male","Secret",92,"96035",TRUE
"61","gjoxfAbysssgjoxf","gjoxf555399gjoxf","Male","Secret",112,"69764",TRUE
"62","gjoxfAce (G.R.A.M.P.A)gjoxf","gjoxf302657gjoxf","Male","Secret",99,"50842",TRUE
"63","gjoxfAcrobat (1940s)gjoxf","gjoxf527208gjoxf","Male","Secret",93,"69331",TRUE
"64","gjoxfAcroyeargjoxf","gjoxf16583gjoxf","Male","No Dual",118,"20439",TRUE
"65","gjoxfAchille DiBaccogjoxf","gjoxf1175gjoxf","Male","Secret",86,"50842",TRUE
"66","gjoxfAchebegjoxf","gjoxf3807gjoxf","Male","Secret",109,"86119",TRUE
"67","gjoxfAdahmgjoxf","gjoxf18411gjoxf","Male","No Dual",116,"76501",TRUE
"68","gjoxfAbraham Zimmergjoxf","gjoxf22362gjoxf","Male","No Dual",104,"20398",FALSE
"69","gjoxfAce Turmbullgjoxf","gjoxf543791gjoxf","Male","Secret",95,"39943",TRUE
"70","gjoxfAce Spencergjoxf","gjoxf15637gjoxf","Male","Public",119,"73899",TRUE
"71","gjoxfAce (Pilot)gjoxf","gjoxf53473gjoxf","Male",NA,106,"69764",TRUE
"72","gjoxfAbwamagjoxf","gjoxf441247gjoxf","Male","No Dual",116,"75835",TRUE
"73","gjoxfAchmed Korbagjoxf","gjoxf19493gjoxf","Male","Secret",105,"76501",TRUE
"74","gjoxfAdolphusgjoxf","gjoxf18403gjoxf","Male","Secret",97,"54589",TRUE
"75","gjoxfAdam Destinegjoxf","gjoxf4054gjoxf","Male","Secret",122,"20398",TRUE
"76","gjoxfAdmiral Nodopegjoxf","gjoxf472372gjoxf","Male","Public",100,"39943",FALSE
"77","gjoxfAdelynn Duquesnegjoxf","gjoxf738533gjoxf","Female","Secret",114,"23483",TRUE
"78","gjoxfAdri Nitalgjoxf","gjoxf1033gjoxf","Male","No Dual",100,"73899",TRUE
"79","gjoxfAdam Simongjoxf","gjoxf724222gjoxf","Male",NA,89,"69331",TRUE
"80","gjoxfAdonisgjoxf","gjoxf575597gjoxf","Male","No Dual",116,"73899",TRUE
"81","gjoxfAdmiral Nippogjoxf","gjoxf477315gjoxf","Male","Public",106,"86119",TRUE
"82","gjoxfAdam Neramanigjoxf","gjoxf1030gjoxf","Male","Secret",108,"11708",TRUE
"83","gjoxfAdolf Impossiblegjoxf","gjoxf663472gjoxf","Male","No Dual",92,"73899",TRUE
"84","gjoxfAdam Austingjoxf","gjoxf32268gjoxf","Male","Secret",106,"69331",TRUE
"85","gjoxfAdam Essex (Earth-41001)gjoxf","gjoxf468957gjoxf","Male","Secret",89,"23483",TRUE
"86","gjoxfAdjunctgjoxf","gjoxf32727gjoxf","Female","Secret",86,"96633",FALSE
"87","gjoxfAdolf Hitler (Clone)gjoxf","gjoxf1800gjoxf","Male","Secret",111,"20439",TRUE
"88","gjoxfAdelicia von Kruppgjoxf","gjoxf668705gjoxf","Female","No Dual",97,"11708",TRUE
"89","gjoxfAdam Manngjoxf","gjoxf689298gjoxf","Male",NA,105,"19550",FALSE
"90","gjoxfAdrian Defoegjoxf","gjoxf340178gjoxf","Male","Secret",98,"23483",TRUE
"91","gjoxfAdrian Corbogjoxf","gjoxf9153gjoxf","Male","Secret",94,"20439",TRUE
"92","gjoxfAdolf Hitlergjoxf","gjoxf101355gjoxf","Male","No Dual",95,"74627",TRUE
"93","gjoxfAdamsgjoxf","gjoxf515916gjoxf","Male",NA,97,"11708",TRUE
"94","gjoxfAdam Wrightgjoxf","gjoxf566952gjoxf","Male","No Dual",99,"24632",TRUE
"95","gjoxfAdmiral von Roedergjoxf","gjoxf485319gjoxf","Male","Public",108,"74627",FALSE
"96","gjoxfAdrian Castorpgjoxf","gjoxf16352gjoxf","Male","No Dual",116,"39943",FALSE
"97","gjoxfAdrian Lynngjoxf","gjoxf13454gjoxf","Female","Secret",86,"76501",TRUE
"98","gjoxfAgatha Timlygjoxf","gjoxf298189gjoxf","Female",NA,107,"75835",TRUE
"99","gjoxfAgent 22gjoxf","gjoxf18420gjoxf","Female","Secret",90,"50588",TRUE
"100","gjoxfAdurgjoxf","gjoxf729749gjoxf","Male","No Dual",91,"86119",TRUE
"101","gjoxfAgargjoxf","gjoxf727035gjoxf","Male","No Dual",90,"19550",TRUE
"102","gjoxfAelfyre Whitemanegjoxf","gjoxf1988gjoxf","Male","Secret",103,"54589",TRUE
"103","gjoxfAgamemnon (Mythology)gjoxf","gjoxf15649gjoxf","Male","Public",96,"20439",TRUE
"104","gjoxfAgent Carvergjoxf","gjoxf753119gjoxf","Female","No Dual",99,"50588",TRUE
"105","gjoxfAgent 5gjoxf","gjoxf97309gjoxf","Male","Secret",105,"75835",TRUE
"106","gjoxfAegisgjoxf","gjoxf28290gjoxf","Female","No Dual",84,"75835",TRUE
"107","gjoxfAel-Dangjoxf","gjoxf404471gjoxf","Male","No Dual",87,"76501",TRUE
"108","gjoxfAgent Axisgjoxf","gjoxf1037gjoxf","Male","Secret",102,"76501",TRUE
"109","gjoxfAftaab Lemargjoxf","gjoxf198583gjoxf","Male",NA,107,"39943",TRUE
"110","gjoxfAdriana Soriagjoxf","gjoxf22156gjoxf","Female","Secret",101,"73899",TRUE
"111","gjoxfAdrienne Bowengjoxf","gjoxf719761gjoxf","Female","No Dual",98,"39943",TRUE
"112","gjoxfAgent 9gjoxf","gjoxf18423gjoxf","Male",NA,91,"24632",TRUE
"113","gjoxfAgent 13 (Hydra Agent)gjoxf","gjoxf37007gjoxf","Male","Secret",116,"13873",TRUE
"114","gjoxfAgamemnon (Dog)gjoxf","gjoxf18431gjoxf","Male","No Dual",103,"11708",TRUE
"115","gjoxfAericgjoxf","gjoxf18438gjoxf","Male","Secret",114,"69764",TRUE
"116","gjoxfAgdistisgjoxf","gjoxf18429gjoxf","Female",NA,99,"23483",TRUE
"117","gjoxfAfterlifegjoxf","gjoxf18434gjoxf","Male","Secret",85,"69331",TRUE
"118","gjoxfAdvisorgjoxf","gjoxf18401gjoxf","Male","Secret",91,"73899",TRUE
"119","gjoxfAgatha Harkness (Heroes Reborn)gjoxf","gjoxf347126gjoxf","Female","No Dual",104,"76501",TRUE
"120","gjoxfAdvagjoxf","gjoxf17446gjoxf","Female","Secret",90,"96633",TRUE
"121","gjoxfAegirgjoxf","gjoxf57921gjoxf","Male","No Dual",113,"76501",FALSE
"122","gjoxfAgent Syngjoxf","gjoxf18464gjoxf","Male","Secret",93,"23483",TRUE
"123","gjoxfAgent Hayesgjoxf","gjoxf722062gjoxf","Male","Secret",108,"24632",TRUE
"124","gjoxfAgent Deemsgjoxf","gjoxf33268gjoxf","Male","Secret",89,"50588",TRUE
"125","gjoxfAgent R-2gjoxf","gjoxf705609gjoxf","Male","Secret",93,"24632",TRUE
"126","gjoxfAgent X (Nijo)gjoxf","gjoxf1805gjoxf","Male","Secret",93,"20398",TRUE
